key;en;fr;ar;cn;tw;dk;nl;fi;de;he;hi;in;it;jp;kr;no;fa;pl;pt;ru;sp;su;tu;uk
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
thanks_choosing;Thanks for choosing {{appName}}!;Merci d'avoir choisi {{appName}} !;شكرا لاختيارك {{appName}}!;感谢您选择{{appName}}！;感謝您選擇{{appName}}！;Tak, fordi du valgte {{appName}}!;Bedankt voor het kiezen van {{appName}}!;Kiitos kun valitsit {{appName}}!;Vielen Dank, dass Sie sich für {{appName}} entschieden haben!;תודה שבחרת ב-{{appName}}!;{{appName}} चुनने के लिए धन्यवाद!;Terima kasih telah memilih {{appName}}!;Grazie per aver scelto {{appName}}!;{{appName}}をお選びいただきありがとうございます！;{{appName}}를 선택해 주셔서 감사합니다!;Takk for at du valgte {{appName}}!;از انتخاب {{appName}} متشکریم!;Dziękujemy za wybranie {{appName}}!;Obrigado por escolher o {{appName}}!;Спасибо, что выбрали {{appName}}!;¡Gracias por elegir {{appName}}!;Tack för att du valde {{appName}}!;{{appName}} seçtiğiniz için teşekkürler!;Дякуємо, що вибрали {{appName}}!
next_time_app;Try the mobile app for the full experience!;Essayez l'application mobile pour une expérience complète !;جرب تطبيق الهاتف لتجربة كاملة!;试试移动应用程序以获得完整体验！;試試移動應用程序以獲得完整體驗！;Prøv mobilappen for at få den fulde oplevelse!;Probeer de mobiele app voor de volledige ervaring!;Kokeile mobiilisovellusta saadaksesi täyden kokemuksen!;Probieren Sie die mobile App aus, um das volle Erlebnis zu genießen!;נסה את האפליקציה לנייד לחוויה המלאה!;पूर्ण अनुभव के लिए मोबाइल ऐप आज़माएं!;Coba aplikasi seluler untuk pengalaman penuh!;Prova l'app mobile per un'esperienza completa!;モバイル アプリを試して完全な体験をしてください!;완전한 경험을 위해 모바일 앱을 사용해보십시오!;Prøv mobilappen for hele opplevelsen!;برای تجربه کامل، اپلیکیشن موبایل را امتحان کنید!;Wypróbuj aplikację mobilną, aby uzyskać pełne wrażenia!;Experimente o aplicativo móvel para uma experiência completa!;Попробуйте мобильное приложение для полного опыта!;¡Prueba la aplicación móvil para disfrutar de la experiencia completa!;Prova mobilappen för hela upplevelsen!;Eksiksiz deneyim için mobil uygulamayı deneyin!;Спробуйте мобільний додаток для повного досвіду!
more_information;More information on ;Plus d'informations sur;مزيد من المعلومات حول;有关更多信息;有關更多信息;Mere information vedr;Meer informatie op;Lisätietoja aiheesta;Weitere Informationen zu;מידע נוסף על;पर अधिक जानकारी;Informasi lebih lanjut tentang;Maggiori informazioni su;詳細については、;에 대한 추가 정보;Mer informasjon om;اطلاعات بیشتر در;Więcej informacji nt;Mais informações sobre;Больше информации о;Más información sobre;Mer information om;Daha fazla bilgi;Більше інформації про
call;Call;Appel;اتصل;称呼;稱呼;Opkald;Telefoongesprek;Puhelu;Rufen;שִׂיחָה;पुकारना;Panggilan;Chiamata;電話;부르다;Anrop;زنگ زدن;Dzwonić;Chamar;Вызов;Llamar;Ring upp;Arama;Телефонуйте
call_back;Call back or reactivate the link.;Rappelez ou réactivez le lien.;اتصل مرة أخرى أو أعد تنشيط الرابط.;回拨或重新激活链接。;回撥或重新激活鏈接。;Ring tilbage eller genaktiver linket.;Bel terug of activeer de link opnieuw.;Soita takaisin tai aktivoi linkki uudelleen.;Rufen Sie zurück oder aktivieren Sie den Link erneut.;התקשר בחזרה או הפעל מחדש את הקישור.;वापस कॉल करें या लिंक को पुनः सक्रिय करें।;Hubungi kembali atau aktifkan kembali tautan tersebut.;Richiama o riattiva il link.;電話をかけ直すか、リンクを再度アクティブにしてください。;다시 전화하거나 링크를 다시 활성화하십시오.;Ring tilbake eller reaktiver koblingen.;تماس بگیرید یا پیوند را دوباره فعال کنید.;Oddzwoń lub ponownie aktywuj łącze.;Ligue de volta ou reative o link.;Перезвоните или повторно активируйте ссылку.;Vuelva a llamar o reactive el enlace.;Ring tillbaka eller återaktivera länken.;Geri arayın veya bağlantıyı yeniden etkinleştirin.;Передзвоніть або повторно активуйте посилання.
activate_camera;Activate your camera;Activez votre caméra;قم بتنشيط الكاميرا الخاصة بك;激活你的相机;激活你的相機;Aktiver dit kamera;Activeer je camera;Aktivoi kamerasi;Aktivieren Sie Ihre Kamera;הפעל את המצלמה שלך;अपना कैमरा सक्रिय करें;Aktifkan kamera Anda;Attiva la fotocamera;カメラを起動します;카메라 활성화;Aktiver kameraet ditt;دوربین خود را فعال کنید;Aktywuj swój aparat;Ative sua câmera;Активируйте камеру;Activa tu camara;Aktivera din kamera;Kameranı etkinleştir;Активуйте камеру
nickname_placeholder;Name;Nom;اسم;姓名;姓名;Navn;Naam;Nimi;Name;שֵׁם;नाम;Nama;Nome;名前;이름;Navn;نام;Nazwa;Nome;Имя;Nombre;Namn;İsim;Ім'я
nickname_empty_error;Pick a name;Choisissez un nom;اختر اسمًا;选择一个名字;選擇一個名字;Vælg et navn;Kies een naam;Valitse nimi;Wählen Sie einen Namen;בחר שם;एक नाम चुनें;Pilih nama;Scegli un nome;名前を選択してください;이름을 고르세요;Velg et navn;یک نام انتخاب کنید;Wybierz imię;Escolha um nome;Выберите имя;Elige un nombre;Välj ett namn;Bir isim seç;Виберіть ім'я
